timestamp,commit_date,commit_hash,commit_short,branch,crate_name,loc_total,loc_code,loc_comments,loc_blanks,functions_count,avg_cyclomatic,max_cyclomatic,avg_cognitive,max_cognitive,avg_halstead_diff,max_halstead_diff,coverage_percent,covered_lines,total_lines,human_percent,claude_percent
2025-12-16T10:43:36.162337+00:00,2025-12-16,1f8f93588c427648a2f47dbeb41294b36159132e,1f8f935,HEAD,mmnes_core,5354,16962,1457,3028,1142,2.48,48.0,0.71,36.0,10.39,80.73,41.46,2392,5770,86.6,13.4
2025-12-16T10:43:36.162337+00:00,2025-12-16,1f8f93588c427648a2f47dbeb41294b36159132e,1f8f935,HEAD,mmnes_frontend,1059,4043,92,657,293,3.61,43.0,4.1,77.0,9.34,35.17,0.0,0,2606,100.0,0.0
2025-12-16T10:43:36.162337+00:00,2025-12-16,1f8f93588c427648a2f47dbeb41294b36159132e,1f8f935,HEAD,mmretrodb,164,596,5,127,58,2.79,19.0,0.76,8.0,8.16,20.16,76.98,194,252,100.0,0.0
2025-12-16T10:44:37.490266+00:00,2025-12-16,c2845464c9e63ef1b41928b765c2005754b3fec8,c284546,HEAD,mmnes_core,5354,16962,1457,3028,1142,2.48,48.0,0.71,36.0,10.39,80.73,41.46,2392,5770,86.6,13.4
2025-12-16T10:44:37.490266+00:00,2025-12-16,c2845464c9e63ef1b41928b765c2005754b3fec8,c284546,HEAD,mmnes_frontend,1059,4043,92,657,293,3.61,43.0,4.1,77.0,9.34,35.17,0.0,0,2606,100.0,0.0
2025-12-16T10:44:37.490266+00:00,2025-12-16,c2845464c9e63ef1b41928b765c2005754b3fec8,c284546,HEAD,mmretrodb,164,596,5,127,58,2.79,19.0,0.76,8.0,8.16,20.16,76.98,194,252,100.0,0.0
2025-12-19T20:44:14.758618+00:00,2025-12-19,96493ed97f59fdee081aede624e497b964488bf4,96493ed,main,mmnes_core,5444,17313,1564,3083,1173,2.44,48.0,0.69,36.0,10.3,80.73,42.05,2474,5884,83.8,16.2
2025-12-19T20:44:14.758618+00:00,2025-12-19,96493ed97f59fdee081aede624e497b964488bf4,96493ed,main,mmnes_frontend,1059,4043,92,657,293,3.61,43.0,4.1,77.0,9.34,35.17,0.0,0,2606,100.0,0.0
2025-12-19T20:44:14.758618+00:00,2025-12-19,96493ed97f59fdee081aede624e497b964488bf4,96493ed,main,mmretrodb,164,596,5,127,58,2.79,19.0,0.76,8.0,8.16,20.16,76.98,194,252,100.0,0.0
2025-12-19T22:12:16.583086+00:00,2025-12-19,ceb6ffb6db12f663013f2db9f69b0ae491a7f9dd,ceb6ffb,main,mmnes_core,5605,17781,1725,3176,1187,2.43,48.0,0.69,37.0,10.36,85.4,49.07,2913,5937,82.2,17.8
2025-12-19T22:12:16.583086+00:00,2025-12-19,ceb6ffb6db12f663013f2db9f69b0ae491a7f9dd,ceb6ffb,main,mmnes_frontend,1059,4043,92,657,293,3.61,43.0,4.1,77.0,9.34,35.17,0.0,0,2606,100.0,0.0
2025-12-19T22:12:16.583086+00:00,2025-12-19,ceb6ffb6db12f663013f2db9f69b0ae491a7f9dd,ceb6ffb,main,mmretrodb,164,596,5,127,58,2.79,19.0,0.76,8.0,8.16,20.16,76.98,194,252,100.0,0.0
2025-12-19T23:02:58.700442+00:00,2025-12-19,960032fb81037fd4f7fc8ef88123c7b0e3606a10,960032f,main,mmnes_core,5844,18641,1898,3305,1233,2.43,48.0,0.71,37.0,10.38,85.4,48.05,3037,6321,76.9,23.1
